"scrape_date", "scrape_time", "name", "capacity", "count", "time"
"2022-09-07", "13:55:31", "Oakwood", "0", "0", "Last updated: 2 mins ago (2:53 PM)"
"2022-09-07", "13:55:31", "BethWall Green", "150", "10", "Last updated: now (2:54 PM)"
"2022-09-07", "13:55:31", "CanaryWall", "100", "4", "Last updated: 1 min ago (2:54 PM)"
"2022-09-07", "13:55:31", "CroyWall", "140", "11", "Last updated: 1 min ago (2:54 PM)"
"2022-09-07", "13:55:31", "HarroWall", "500", "22", "Last updated: 1 min ago (2:54 PM)"
"2022-09-07", "13:55:31", "RavensWall", "150", "48", "Last updated: 1 min ago (2:54 PM)"
"2022-09-07", "13:55:31", "VauxWall East", "140", "12", "Last updated: 1 min ago (2:54 PM)"
"2022-09-07", "13:55:31", "VauxWall West", "150", "16", "Last updated: 1 min ago (2:54 PM)"
"2022-09-07", "13:55:31", "Foundry", "120", "28", "Last updated: 1 min ago (2:54 PM)"
"2022-09-07", "13:55:31", "KendalWall", "120", "9", "Last updated: 7 mins ago (2:48 PM)"
"2022-09-07", "13:55:31", "LancasterWall", "150", "20", "Last updated: 1 min ago (2:54 PM)"
"2022-09-07", "13:55:31", "PrestonWall", "100", "5", "Last updated: 4 mins ago (2:51 PM)"
"2022-09-07", "13:55:31", "The Church", "150", "8", "Last updated: now (2:55 PM)"
"2022-09-07", "13:55:31", "The Mothership", "400", "43", "Last updated: now (2:55 PM)"
"2022-09-07", "13:55:31", "The Newsroom", "225", "33", "Last updated: now (2:55 PM)"
"2022-09-07", "13:55:31", "The Prop Store", "180", "23", "Last updated: 1 min ago (2:54 PM)"
"2022-09-07", "13:55:31", "High Sports Brighton", "85", "4", "Last updated: 5 mins ago (2:50 PM)"
"2022-09-07", "13:55:31", "Awesome Walls Liverpool", "69", "11", "Last updated: 2 mins ago (2:53 PM)"
"2022-09-07", "13:55:31", "Awesome Walls Sheffield", "179", "10", "Last updated: 7 mins ago (2:48 PM)"
"2022-09-07", "13:55:31", "Awesome Walls Stockport", "95", "12", "Last updated: 8 mins ago (2:47 PM)"
"2022-09-07", "13:55:31", "Awesome Walls Stoke", "100", "10", "Last updated: 3 mins ago (2:52 PM)"
"2022-09-07", "13:55:31", "Blue Spider UK", "50", "0", "now (2:55 PM)"
"2022-09-07", "13:55:31", "Yellow Spider UK", "50", "0", "3 mins ago (2:52 PM)"
"2022-09-07", "13:55:31", "Big Rock Bond", "200", "38", "Last updated: 3 mins ago (2:52 PM)"
"2022-09-07", "13:55:31", "Big Rock Hub", "200", "14", "Last updated: 2 mins ago (2:53 PM)"
"2022-09-07", "13:55:31", "Yonder", "120", "16", "Last updated: now (2:54 PM)"
"2022-09-07", "13:55:31", "Beacon", "190", "41", "Last updated: 5 mins ago (2:50 PM)"
"2022-09-07", "13:55:31", "Roc-Bloc", "150", "20", "Last updated: 3 mins ago (2:52 PM)"
"2022-09-07", "13:55:31", "Boulder Hut", "0", "0", ""
"2022-09-07", "13:55:31", "The Climbing Experience", "150", "23", "Last updated: 2 mins ago (7:53 AM)"
"2022-09-07", "13:55:31", "Pinnacle Northampton", "50", "0", "Last updated: 9 mins ago (2:46 PM)"
"2022-09-07", "13:55:31", "The Climbing Lab", "120", "0", "Last updated: Feb 16, 2022"
"2022-09-07", "13:55:31", "Liverpool Matchworks", "200", "26", "Last updated: now (2:54 PM)"
"2022-09-07", "13:55:31", "The Hangar London", "60", "0", "Last updated: Jul 2, 2022"
"2022-09-07", "13:55:31", "The Hangar Plymouth", "0", "0", ""
"2022-09-07", "13:55:31", "The Climbing Hangar Exeter", "200", "53", "Last updated: now (2:55 PM)"
"2022-09-07", "13:55:31", "The Hangar Liverpool", "275", "52", "Last updated: 1 min ago (2:54 PM)"
"2022-09-07", "13:55:31", "Redpoint Worcester", "250", "26", "Last updated: 5 mins ago (1:50 PM)"
"2022-09-07", "13:55:31", "Volume1", "150", "23", "Last updated: 4 mins ago (2:51 PM)"
"2022-09-07", "13:55:31", "Eden Rock Edinburgh", "0", "0", "NA"
"2022-09-07", "13:55:31", "Eden Rock Carlisle", "0", "0", "NA"
"2022-09-07", "13:55:52", "Oakwood", "0", "0", "Last updated: now (2:55 PM)"
"2022-09-07", "13:55:52", "BethWall Green", "150", "10", "Last updated: 1 min ago (2:54 PM)"
"2022-09-07", "13:55:52", "CanaryWall", "100", "4", "Last updated: 2 mins ago (2:54 PM)"
"2022-09-07", "13:55:52", "CroyWall", "140", "11", "Last updated: 2 mins ago (2:54 PM)"
"2022-09-07", "13:55:52", "HarroWall", "500", "22", "Last updated: 2 mins ago (2:54 PM)"
"2022-09-07", "13:55:52", "RavensWall", "150", "48", "Last updated: 2 mins ago (2:54 PM)"
"2022-09-07", "13:55:52", "VauxWall East", "140", "12", "Last updated: 1 min ago (2:54 PM)"
"2022-09-07", "13:55:52", "VauxWall West", "150", "16", "Last updated: 2 mins ago (2:54 PM)"
"2022-09-07", "13:55:52", "Foundry", "120", "28", "Last updated: 2 mins ago (2:54 PM)"
"2022-09-07", "13:55:52", "KendalWall", "120", "9", "Last updated: 7 mins ago (2:48 PM)"
"2022-09-07", "13:55:52", "LancasterWall", "150", "20", "Last updated: 2 mins ago (2:54 PM)"
"2022-09-07", "13:55:52", "PrestonWall", "100", "5", "Last updated: 4 mins ago (2:51 PM)"
"2022-09-07", "13:55:52", "The Church", "150", "8", "Last updated: now (2:55 PM)"
"2022-09-07", "13:55:52", "The Mothership", "400", "43", "Last updated: now (2:55 PM)"
"2022-09-07", "13:55:52", "The Newsroom", "225", "33", "Last updated: now (2:55 PM)"
"2022-09-07", "13:55:52", "The Prop Store", "180", "23", "Last updated: now (2:55 PM)"
"2022-09-07", "13:55:52", "High Sports Brighton", "85", "4", "Last updated: 6 mins ago (2:50 PM)"
"2022-09-07", "13:55:52", "Awesome Walls Liverpool", "69", "11", "Last updated: 2 mins ago (2:53 PM)"
"2022-09-07", "13:55:52", "Awesome Walls Sheffield", "179", "10", "Last updated: 7 mins ago (2:48 PM)"
"2022-09-07", "13:55:52", "Awesome Walls Stockport", "95", "12", "Last updated: 8 mins ago (2:47 PM)"
"2022-09-07", "13:55:52", "Awesome Walls Stoke", "100", "10", "Last updated: 3 mins ago (2:52 PM)"
"2022-09-07", "13:55:52", "Blue Spider UK", "50", "0", "now (2:55 PM)"
"2022-09-07", "13:55:52", "Yellow Spider UK", "50", "0", "3 mins ago (2:52 PM)"
"2022-09-07", "13:55:52", "Big Rock Bond", "200", "39", "Last updated: now (2:55 PM)"
"2022-09-07", "13:55:52", "Big Rock Hub", "200", "14", "Last updated: 3 mins ago (2:53 PM)"
"2022-09-07", "13:55:52", "Yonder", "120", "16", "Last updated: now (2:54 PM)"
"2022-09-07", "13:55:52", "Beacon", "190", "41", "Last updated: now (2:55 PM)"
"2022-09-07", "13:55:52", "Roc-Bloc", "150", "20", "Last updated: 3 mins ago (2:52 PM)"
"2022-09-07", "13:55:52", "Boulder Hut", "0", "0", ""
"2022-09-07", "13:55:52", "The Climbing Experience", "150", "23", "Last updated: 2 mins ago (7:53 AM)"
"2022-09-07", "13:55:52", "Pinnacle Northampton", "50", "0", "Last updated: 10 mins ago (2:46 PM)"
"2022-09-07", "13:55:52", "The Climbing Lab", "120", "0", "Last updated: Feb 16, 2022"
"2022-09-07", "13:55:52", "Liverpool Matchworks", "200", "26", "Last updated: 1 min ago (2:54 PM)"
"2022-09-07", "13:55:52", "The Hangar London", "60", "0", "Last updated: Jul 2, 2022"
"2022-09-07", "13:55:52", "The Hangar Plymouth", "0", "0", ""
"2022-09-07", "13:55:52", "The Climbing Hangar Exeter", "200", "53", "Last updated: now (2:55 PM)"
"2022-09-07", "13:55:52", "The Hangar Liverpool", "275", "53", "Last updated: now (2:55 PM)"
"2022-09-07", "13:55:52", "Redpoint Worcester", "250", "26", "Last updated: 6 mins ago (1:50 PM)"
"2022-09-07", "13:55:52", "Volume1", "150", "23", "Last updated: 4 mins ago (2:51 PM)"
"2022-09-07", "13:55:52", "Eden Rock Edinburgh", "0", "0", "NA"
"2022-09-07", "13:55:52", "Eden Rock Carlisle", "0", "0", "NA"
"2022-09-07", "14:15:51", "Oakwood", "0", "0", "Last updated: now (3:15 PM)"
"2022-09-07", "14:15:51", "BethWall Green", "150", "9", "Last updated: now (3:15 PM)"
"2022-09-07", "14:15:51", "CanaryWall", "100", "5", "Last updated: now (3:15 PM)"
"2022-09-07", "14:15:51", "CroyWall", "140", "13", "Last updated: now (3:15 PM)"
"2022-09-07", "14:15:51", "HarroWall", "500", "23", "Last updated: now (3:15 PM)"
"2022-09-07", "14:15:51", "RavensWall", "150", "47", "Last updated: now (3:15 PM)"
"2022-09-07", "14:15:51", "VauxWall East", "140", "12", "Last updated: now (3:15 PM)"
"2022-09-07", "14:15:51", "VauxWall West", "150", "16", "Last updated: now (3:15 PM)"
"2022-09-07", "14:15:51", "Foundry", "120", "25", "Last updated: now (3:15 PM)"
"2022-09-07", "14:15:51", "KendalWall", "120", "13", "Last updated: 2 mins ago (3:13 PM)"
"2022-09-07", "14:15:51", "LancasterWall", "150", "20", "Last updated: 3 mins ago (3:12 PM)"
"2022-09-07", "14:15:51", "PrestonWall", "100", "7", "Last updated: now (3:15 PM)"
"2022-09-07", "14:15:51", "The Church", "150", "8", "Last updated: 4 mins ago (3:11 PM)"
"2022-09-07", "14:15:51", "The Mothership", "400", "40", "Last updated: 4 mins ago (3:11 PM)"
"2022-09-07", "14:15:51", "The Newsroom", "225", "28", "Last updated: 2 mins ago (3:13 PM)"
"2022-09-07", "14:15:51", "The Prop Store", "180", "25", "Last updated: 3 mins ago (3:12 PM)"
"2022-09-07", "14:15:51", "High Sports Brighton", "85", "4", "Last updated: 4 mins ago (3:11 PM)"
"2022-09-07", "14:15:51", "Awesome Walls Liverpool", "69", "12", "Last updated: now (3:15 PM)"
"2022-09-07", "14:15:51", "Awesome Walls Sheffield", "179", "11", "Last updated: now (3:15 PM)"
"2022-09-07", "14:15:51", "Awesome Walls Stockport", "95", "14", "Last updated: 2 mins ago (3:14 PM)"
"2022-09-07", "14:15:51", "Awesome Walls Stoke", "100", "9", "Last updated: 5 mins ago (3:10 PM)"
"2022-09-07", "14:15:51", "Blue Spider UK", "50", "0", "now (3:15 PM)"
"2022-09-07", "14:15:51", "Yellow Spider UK", "50", "0", "now (3:15 PM)"
"2022-09-07", "14:15:51", "Big Rock Bond", "200", "31", "Last updated: 8 mins ago (3:07 PM)"
"2022-09-07", "14:15:51", "Big Rock Hub", "200", "14", "Last updated: 4 mins ago (3:11 PM)"
"2022-09-07", "14:15:51", "Yonder", "120", "18", "Last updated: now (3:15 PM)"
"2022-09-07", "14:15:51", "Beacon", "190", "46", "Last updated: now (3:14 PM)"
"2022-09-07", "14:15:51", "Roc-Bloc", "150", "20", "Last updated: 5 mins ago (3:10 PM)"
"2022-09-07", "14:15:51", "Boulder Hut", "0", "0", ""
"2022-09-07", "14:15:51", "The Climbing Experience", "150", "28", "Last updated: 1 min ago (8:14 AM)"
"2022-09-07", "14:15:51", "Pinnacle Northampton", "50", "0", "Last updated: now (3:15 PM)"
"2022-09-07", "14:15:51", "The Climbing Lab", "120", "0", "Last updated: Feb 16, 2022"
"2022-09-07", "14:15:51", "Liverpool Matchworks", "200", "26", "Last updated: 2 mins ago (3:14 PM)"
"2022-09-07", "14:15:51", "The Hangar London", "60", "0", "Last updated: Jul 2, 2022"
"2022-09-07", "14:15:51", "The Hangar Plymouth", "0", "0", ""
"2022-09-07", "14:15:51", "The Climbing Hangar Exeter", "200", "51", "Last updated: 2 mins ago (3:13 PM)"
"2022-09-07", "14:15:51", "The Hangar Liverpool", "275", "50", "Last updated: 1 min ago (3:14 PM)"
"2022-09-07", "14:15:51", "Redpoint Worcester", "250", "27", "Last updated: 4 mins ago (2:11 PM)"
"2022-09-07", "14:15:51", "Volume1", "150", "23", "Last updated: 5 mins ago (3:10 PM)"
"2022-09-07", "14:15:51", "Eden Rock Edinburgh", "0", "0", "NA"
"2022-09-07", "14:15:51", "Eden Rock Carlisle", "0", "0", "NA"
"2022-09-07", "15:15:42", "Oakwood", "0", "0", "Last updated: now (4:15 PM)"
"2022-09-07", "15:15:42", "BethWall Green", "150", "7", "Last updated: now (4:15 PM)"
"2022-09-07", "15:15:42", "CanaryWall", "100", "7", "Last updated: now (4:15 PM)"
"2022-09-07", "15:15:42", "CroyWall", "140", "20", "Last updated: now (4:15 PM)"
"2022-09-07", "15:15:42", "HarroWall", "500", "18", "Last updated: now (4:15 PM)"
"2022-09-07", "15:15:42", "RavensWall", "150", "21", "Last updated: now (4:15 PM)"
"2022-09-07", "15:15:42", "VauxWall East", "140", "14", "Last updated: now (4:15 PM)"
"2022-09-07", "15:15:42", "VauxWall West", "150", "16", "Last updated: now (4:15 PM)"
"2022-09-07", "15:15:42", "Foundry", "120", "26", "Last updated: now (4:15 PM)"
"2022-09-07", "15:15:42", "KendalWall", "120", "16", "Last updated: now (4:15 PM)"
"2022-09-07", "15:15:42", "LancasterWall", "150", "13", "Last updated: now (4:15 PM)"
"2022-09-07", "15:15:42", "PrestonWall", "100", "7", "Last updated: now (4:15 PM)"
"2022-09-07", "15:15:42", "The Church", "150", "5", "Last updated: now (4:15 PM)"
"2022-09-07", "15:15:42", "The Mothership", "400", "53", "Last updated: now (4:15 PM)"
"2022-09-07", "15:15:42", "The Newsroom", "225", "34", "Last updated: 1 min ago (4:14 PM)"
"2022-09-07", "15:15:42", "The Prop Store", "180", "42", "Last updated: 2 mins ago (4:13 PM)"
"2022-09-07", "15:15:42", "High Sports Brighton", "85", "13", "Last updated: now (4:15 PM)"
"2022-09-07", "15:15:42", "Awesome Walls Liverpool", "69", "16", "Last updated: now (4:15 PM)"
"2022-09-07", "15:15:42", "Awesome Walls Sheffield", "179", "5", "Last updated: now (4:15 PM)"
"2022-09-07", "15:15:42", "Awesome Walls Stockport", "95", "22", "Last updated: now (4:15 PM)"
"2022-09-07", "15:15:42", "Awesome Walls Stoke", "100", "9", "Last updated: 1 min ago (4:14 PM)"
"2022-09-07", "15:15:42", "Blue Spider UK", "50", "7", "now (4:15 PM)"
"2022-09-07", "15:15:42", "Yellow Spider UK", "50", "3", "3 mins ago (4:12 PM)"
"2022-09-07", "15:15:42", "Big Rock Bond", "200", "26", "Last updated: 9 mins ago (4:07 PM)"
"2022-09-07", "15:15:42", "Big Rock Hub", "200", "15", "Last updated: 7 mins ago (4:08 PM)"
"2022-09-07", "15:15:42", "Yonder", "120", "18", "Last updated: 2 mins ago (4:14 PM)"
"2022-09-07", "15:15:42", "Beacon", "190", "56", "Last updated: now (4:15 PM)"
"2022-09-07", "15:15:42", "Roc-Bloc", "150", "18", "Last updated: 1 min ago (4:14 PM)"
"2022-09-07", "15:15:42", "Boulder Hut", "0", "0", ""
"2022-09-07", "15:15:42", "The Climbing Experience", "150", "38", "Last updated: 4 mins ago (9:12 AM)"
"2022-09-07", "15:15:42", "Pinnacle Northampton", "50", "20", "Last updated: now (4:15 PM)"
"2022-09-07", "15:15:42", "The Climbing Lab", "120", "0", "Last updated: Feb 16, 2022"
"2022-09-07", "15:15:42", "Liverpool Matchworks", "200", "17", "Last updated: 6 mins ago (4:09 PM)"
"2022-09-07", "15:15:42", "The Hangar London", "60", "0", "Last updated: Jul 2, 2022"
"2022-09-07", "15:15:42", "The Hangar Plymouth", "0", "0", ""
"2022-09-07", "15:15:42", "The Climbing Hangar Exeter", "200", "51", "Last updated: now (4:15 PM)"
"2022-09-07", "15:15:42", "The Hangar Liverpool", "275", "59", "Last updated: now (4:15 PM)"
"2022-09-07", "15:15:42", "Redpoint Worcester", "250", "30", "Last updated: 5 mins ago (3:11 PM)"
"2022-09-07", "15:15:42", "Volume1", "150", "30", "Last updated: 3 mins ago (4:12 PM)"
"2022-09-07", "15:15:42", "Eden Rock Edinburgh", "0", "0", "NA"
"2022-09-07", "15:15:42", "Eden Rock Carlisle", "0", "0", "NA"
"2022-09-07", "16:15:41", "Oakwood", "0", "0", "Last updated: now (5:14 PM)"
"2022-09-07", "16:15:41", "BethWall Green", "150", "14", "Last updated: now (5:15 PM)"
"2022-09-07", "16:15:41", "CanaryWall", "100", "7", "Last updated: now (5:15 PM)"
"2022-09-07", "16:15:41", "CroyWall", "140", "20", "Last updated: now (5:15 PM)"
"2022-09-07", "16:15:41", "HarroWall", "500", "49", "Last updated: now (5:15 PM)"
"2022-09-07", "16:15:41", "RavensWall", "150", "29", "Last updated: now (5:15 PM)"
"2022-09-07", "16:15:41", "VauxWall East", "140", "32", "Last updated: now (5:15 PM)"
"2022-09-07", "16:15:41", "VauxWall West", "150", "35", "Last updated: now (5:15 PM)"
"2022-09-07", "16:15:41", "Foundry", "120", "43", "Last updated: 5 mins ago (5:10 PM)"
"2022-09-07", "16:15:41", "KendalWall", "120", "29", "Last updated: now (5:15 PM)"
"2022-09-07", "16:15:41", "LancasterWall", "150", "8", "Last updated: 7 mins ago (5:08 PM)"
"2022-09-07", "16:15:41", "PrestonWall", "100", "18", "Last updated: 2 mins ago (5:13 PM)"
"2022-09-07", "16:15:41", "The Church", "150", "18", "Last updated: now (5:15 PM)"
"2022-09-07", "16:15:41", "The Mothership", "400", "78", "Last updated: now (5:15 PM)"
"2022-09-07", "16:15:41", "The Newsroom", "225", "64", "Last updated: now (5:14 PM)"
"2022-09-07", "16:15:41", "The Prop Store", "180", "54", "Last updated: now (5:14 PM)"
"2022-09-07", "16:15:41", "High Sports Brighton", "85", "31", "Last updated: 5 mins ago (5:10 PM)"
"2022-09-07", "16:15:41", "Awesome Walls Liverpool", "69", "15", "Last updated: now (5:15 PM)"
"2022-09-07", "16:15:41", "Awesome Walls Sheffield", "179", "18", "Last updated: 6 mins ago (5:09 PM)"
"2022-09-07", "16:15:41", "Awesome Walls Stockport", "95", "34", "Last updated: now (5:15 PM)"
"2022-09-07", "16:15:41", "Awesome Walls Stoke", "100", "14", "Last updated: 1 min ago (5:14 PM)"
"2022-09-07", "16:15:41", "Blue Spider UK", "50", "26", "now (5:15 PM)"
"2022-09-07", "16:15:41", "Yellow Spider UK", "50", "11", "now (5:15 PM)"
"2022-09-07", "16:15:41", "Big Rock Bond", "200", "37", "Last updated: 6 mins ago (5:09 PM)"
